district,state,anaemia_women,child_marriage,teen_pregnancy,unmet_fp,low_bmi,anaemia_women_norm,child_marriage_norm,teen_pregnancy_norm,unmet_fp_norm,low_bmi_norm,gender_gap_score,gender_rank,dhvs,dhvs_rank,dhvs_norm,gender_norm,hidden_gap,hidden_gap_rank,gender_band
Nicobars,Andaman & Nicobar Islands,38.3,11.4,1.8,9.5,8.2,29.770992366412212,19.791666666666664,6.593406593406594,26.10062893081761,16.50943396226415,20.1,653,25.59,617,0.2341126627961713,0.17086112795633718,-0.063,426,Low
North & Middle Andaman,Andaman & Nicobar Islands,62.1,15.4,3.8,5.8,8.6,60.05089058524173,26.73611111111111,13.919413919413918,14.465408805031446,17.452830188679243,29.27,492,39.38,314,0.450494272713008,0.3098847786537295,-0.141,564,Moderate
South Andaman,Andaman & Nicobar Islands,57.7,17.1,2.8,17.6,10.0,54.452926208651405,29.6875,10.256410256410255,51.572327044025165,20.75471698113208,33.94,363,23.79,640,0.2058685077671426,0.38068526379624,0.175,50,Moderate
Srikakulam,Andhra Pradesh,62.6,25.4,5.5,5.7,13.8,60.68702290076337,44.09722222222222,20.146520146520146,14.150943396226415,29.716981132075475,36.81,294,25.86,612,0.23834928605052563,0.42419648271679805,0.186,47,Moderate
Vizianagaram,Andhra Pradesh,64.0,33.7,12.7,6.7,16.9,62.46819338422392,58.50694444444445,46.52014652014652,17.29559748427673,37.028301886792455,47.7,129,40.55,294,0.46885297348187654,0.5892965433596119,0.12,94,Moderate
Visakhapatnam,Andhra Pradesh,58.0,25.4,9.5,4.8,17.4,54.834605597964384,44.09722222222222,34.798534798534796,11.320754716981131,38.20754716981132,39.12,262,38.76,333,0.4407657304252314,0.4592177077016373,0.018,272,Moderate
East Godavari,Andhra Pradesh,63.0,26.0,6.2,8.0,10.2,61.195928753180674,45.13888888888889,22.71062271062271,21.383647798742135,21.22641509433962,37.52,281,35.13,436,0.38380668445002347,0.43496058217101274,0.051,199,Moderate
West Godavari,Andhra Pradesh,63.0,22.1,13.4,3.0,10.1,61.195928753180674,38.36805555555556,49.08424908424908,5.660377358490567,20.99056603773585,38.71,266,34.48,454,0.37360740624509636,0.4530018192844148,0.079,144,Moderate
Krishna,Andhra Pradesh,60.3,25.3,9.6,2.5,10.5,57.76081424936387,43.92361111111111,35.16483516483516,4.088050314465408,21.933962264150946,36.36,301,29.66,550,0.29797583555625295,0.41737416616130985,0.119,98,Moderate
Guntur,Andhra Pradesh,59.5,35.4,20.7,3.2,9.6,56.74300254452926,61.45833333333333,75.82417582417582,6.289308176100629,19.81132075471698,48.63,119,31.88,510,0.33281029342538837,0.6033959975742874,0.271,16,Moderate
Prakasam,Andhra Pradesh,60.4,37.3,16.4,4.8,14.4,57.888040712468204,64.75694444444444,60.07326007326007,11.320754716981131,31.132075471698116,49.04,110,33.67,468,0.36089753648203354,0.60961188599151,0.249,23,Moderate
